,Unnamed: 0.1,Unnamed: 0,설치기관명,설치기관주소,월요일,화요일,수요일,목요일,금요일,토요일,일요일,공휴일
0,0,0,(재)잠실자생한방병원 (원무데스크),"서울특별시 송파구 충민로 66, 가든파이브라이프 (문정동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,09:00~18:00
1,1,1,(주)공영홈쇼핑 (디지털큐브 7F),서울특별시 마포구 상암산로 34(상암동),04:00~25:00,04:00~25:00,04:00~25:00,04:00~25:00,04:00~25:00,04:00~25:00,04:00~25:00,04:00~25:00
2,2,2,(주)공영홈쇼핑 (디지털큐브 6F),서울특별시 마포구 상암산로 34(상암동),04:00~25:00,04:00~25:00,04:00~25:00,04:00~25:00,04:00~25:00,04:00~25:00,04:00~25:00,04:00~25:00
3,3,3,(주)공영홈쇼핑 (디지털큐브 18F),서울특별시 마포구 상암산로 34(상암동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
4,4,4,(주)롯데e커머스사업부 (25층 (주)롯데e커머스 사업부 건강관리실),"서울특별시 송파구 올림픽로 300, 롯데월드타워앤드롯데월드몰 25층 (신천동)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5,5,5,(주)신세계까사 (5층 파트너스라운지),"서울특별시 중구 남대문시장10길 2, MESA (회현동1가)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
6,6,6,(주)예스코 (현관 로비 접견실),"서울특별시 성동구 자동차시장길 23, 예스코 (용답동)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
7,7,7,(주)이마트SSG 청담점 (지하 1층 보안실),"서울특별시 강남구 도산대로 442, 피엔폴루스 (청담동)",10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00
8,8,8,(주)한샘 (1층),"서울특별시 마포구 성암로 179, 한샘 상암사옥 (상암동)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
9,9,9,(주)호텔롯데롯데면세점 (24층 보건실 옆),"서울특별시 중구 을지로 30, 롯데호텔 22,24,26층 (소공동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
10,10,10,(주)호텔롯데롯데면세점명동본점 (12층 랑콤매장 옆),"서울특별시 중구 을지로 30, 롯데호텔 9-12층 (소공동)",09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30
11,11,11,(주)호텔롯데롯데면세점명동본점 (10층 면세전용 엘릴베이터 앞),"서울특별시 중구 을지로 30, 롯데호텔 9-12층 (소공동)",09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30
12,12,12,100주년기념관 (서울특별시 종로구 대학로3길29 본관1층 엘리베이터옆),서울특별시 종로구 대학로3길 29 100주년기념관 본관1층 엘리베이터앞 (연지동),,,,,,06:00~24:00,06:00~24:00,06:00~24:00
13,13,13,11번가주식회사 (16층 의무실 앞),"서울특별시 중구 한강대로 416, 서울스퀘어 16층 (남대문로5가)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
14,14,14,2호선 강남역 (강남역 2호선 고객안전실 앞),"서울특별시 강남구 강남대로 지하396, 강남역 (역삼동)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
15,15,15,2호선 선릉역 (가 게이트 옆),"서울특별시 강남구 테헤란로 지하340, 선릉역 (삼성동)",05:00~25:00,05:00~25:00,05:00~25:00,05:00~25:00,05:00~25:00,05:00~24:00,05:00~24:00,05:00~24:00
16,16,16,2호선 역삼역 (안내부스+9m),"서울특별시 강남구 테헤란로 지하156, 역삼역 (역삼동)",05:30~23:59,05:30~23:59,05:30~23:59,05:30~23:59,05:30~23:59,05:30~23:59,05:30~23:59,05:30~23:59
17,17,17,3호선 고속터미널역 (역사 대합실),서울특별시 서초구 신반포로 지하188(반포동),00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
18,18,18,3호선 대청역 (지하2층 i센터 옆),"서울특별시 강남구 일원로 지하2, 대청역 (일원동)",05:00~24:56,05:00~24:56,05:00~24:56,05:00~24:56,05:00~24:56,05:00~23:59,05:00~23:59,05:00~23:59
19,19,19,3호선 대치역 (B1층 대합실 고객안전실 옆 벽면),"서울특별시 강남구 남부순환로 지하2952, 대치역 (대치동)",05:00~24:00,05:00~24:00,05:00~24:00,05:00~24:00,05:00~24:00,05:00~24:00,05:00~24:00,05:00~24:00
20,20,20,3호선 매봉역 (지하1층 대합실 안내부스 좌측 5M),"서울특별시 강남구 남부순환로 지하2744, 매봉역 (도곡동)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
21,21,21,3호선 수서역 (지하1층 화장실 옆),"서울특별시 강남구 광평로 지하270, 수서역 (수서동)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
22,22,22,3호선 신사역 (지하1층 고객안전실 옆),"서울특별시 강남구 도산대로 지하102, 신사역 (신사동)",05:00~25:00,05:00~25:00,05:00~25:00,05:00~25:00,05:00~25:00,05:00~24:00,05:00~24:00,05:00~24:00
23,23,23,3호선 학여울역 (지하4층 대합실 대화행 E/L 앞),"서울특별시 강남구 남부순환로 지하3104, 학여울역 (대치동)",05:00~24:54,05:00~24:54,05:00~24:54,05:00~24:54,05:00~24:54,05:00~23:58,05:00~23:58,05:00~23:58
24,24,24,6호선 이태원역 (이태원역 B1층 I센터 옆),"서울특별시 용산구 이태원로 지하177, 6호선 이태원역 (이태원동)",05:00~25:00,05:00~25:00,05:00~25:00,05:00~25:00,05:00~25:00,05:00~25:00,05:00~25:00,05:00~25:00
25,25,25,7호선 강남구청역 (지하2층 대한실 가 안내센터 맞은편 벽면),"서울특별시 강남구 학동로 지하346, 강남구청역 (삼성동)",05:33~12:48,05:33~12:48,05:33~12:48,05:33~12:48,05:33~12:48,05:33~12:03,05:33~12:03,05:33~12:03
26,26,26,7호선 논현역 (대합실(고객안전실 앞)),"서울특별시 강남구 학동로 지하102, 논현역 지하2층 (논현동)",04:30~26:00,04:30~26:00,04:30~26:00,04:30~26:00,04:30~26:00,04:30~26:00,04:30~26:00,04:30~26:00
27,27,27,7호선 청담역 (지하3층 대합실(가 게이트 앞)),"서울특별시 강남구 학동로 지하508, 청담역 (청담동)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
28,28,28,7호선 학동역 (지하2층 대하실(E/L 1호기 옆)),"서울특별시 강남구 학동로 지하180, 학동역 (논현동)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
29,29,29,DMCsk뷰1단지아파트 (102동 지하1층 커뮤니티 센터 내),서울특별시 은평구 수색로 216(수색동),00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
30,30,30,DMC래미안e편한세상아파트 (2단지 정문초소),"서울특별시 서대문구 수색로 100(북가좌동, DMC 래미안 e편한세상)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
31,31,31,DMC래미안e편한세상아파트 (2단지 커뮤니티센터 지하 출입구),"서울특별시 서대문구 수색로 100(북가좌동, DMC 래미안 e편한세상)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
32,32,32,DMC래미안e편한세상아파트 (4단지 4-2초소 내),"서울특별시 서대문구 수색로 100(북가좌동, DMC 래미안 e편한세상)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
33,33,33,DMC래미안e편한세상아파트 (3단지 정문 초소내),"서울특별시 서대문구 수색로 100(북가좌동, DMC 래미안 e편한세상)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
34,34,34,DMC래미안e편한세상아파트 (3단지 방재실 입구),"서울특별시 서대문구 수색로 100(북가좌동, DMC 래미안 e편한세상)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
35,35,35,JW메이어트호텔 (지하1층 피난 안전구역),"서울특별시 서초구 신반포로 176, 신세계 센트럴시티 메리어트호텔 (반포동)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
36,36,36,LG디스플레이 (동관 14F),서울특별시 영등포구 여의대로 128(여의도동),00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
37,37,37,LG디스플레이 (동관 6F),서울특별시 영등포구 여의대로 128(여의도동),00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
38,38,38,SBS목동방송센터 (사무동 10층 출입구 옆),서울특별시 양천구 목동서로 161(목동),00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
39,39,39,SBS목동방송센터 (1층 로비 서측 출입구 옆),서울특별시 양천구 목동서로 161(목동),00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
40,40,40,SBS목동방송센터 (사무동 5층 출입구 옆),서울특별시 양천구 목동서로 161(목동),00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
41,41,41,SBS목동방송센터 (사무동 15층 출입구 옆),서울특별시 양천구 목동서로 161(목동),00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
42,42,42,SBS목동방송센터 (1층 로비 서측 출입구 옆),서울특별시 양천구 목동서로 161(목동),00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
43,43,43,e편한세상마포리버파크 (e편한세상마포리버파크 커뮤니티센터 카페앞),"서울특별시 마포구 토정로31길 24 관리사무소 (용강동, e편한세상 마포3차)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
44,44,44,e편한세상마포리버파크 (e편한세상마포리버파크 관리사무소 후문초소),"서울특별시 마포구 토정로31길 24 관리사무소 (용강동, e편한세상 마포3차)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
45,45,45,e편한세상서울대입구관리사무소 (2단지 관리사무소 앞 복도),"서울특별시 관악구 청룡16길 43 (봉천동, e편한세상서울대입구 2단지)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
46,46,46,e편한세상서울대입구관리사무소 (1단지 관리사무소 앞 복도),"서울특별시 관악구 청룡16길 43 (봉천동, e편한세상서울대입구 2단지)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
47,47,47,e편한세상송파파크센트럴아파트 (로비 중앙 (화장실 측)),"서울특별시 송파구 오금로 551, 관리동 (거여동)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
48,48,48,e편한세상청계센트럴포레아파트 (정문경비실),"서울특별시 동대문구 무학로 91(용두동, e편한세상 청계센트럴포레 아파트)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
49,49,49,가락우성아파트 (관리실 입구),"서울특별시 송파구 송파대로32길 8(가락동, 가락우성아파트)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
50,50,50,가양2동주민센터 (1층 로비(화장실 옆)),"서울특별시 강서구 허준로 93, 가양2동주민센터 (가양동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
51,51,51,가양3동주민센터 (1층 민원실),"서울특별시 강서구 허준로 202, 가양3동주민센터 (가양동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,00:00~24:00,00:00~24:00
52,52,52,가양4종합사회복지관 (출입구 앞),"서울특별시 강서구 양천로57길 37(가양동, 가양4단지아파트)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~16:00,,
53,53,53,가양5종합사회복지관 (출입구 앞),"서울특별시 강서구 양천로57길 36(가양동, 가양5단지아파트)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
54,54,54,가양7종합사회복지관 (복지관 내),"서울특별시 강서구 허준로 209(가양동, 가양7단지아파트)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~16:00,,
55,55,55,가양한강타운아파트 (아파트정문 상황실),서울특별시 강서구 허준로 23,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
56,56,56,강감찬관악종합사회복지관 (2층 강의장 책상위),"서울특별시 관악구 양녕로 74, 강감찬관악종합사회복지관 (봉천동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:18~18:00,,,
57,57,57,강나루현대아파트 (단지내 관리사무실 2층 관제실),서울특별시 강서구 양천로 507 제1경비실,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
58,58,58,강남구립행복요양병원 (1층 외래 간호스테이션),서울특별시 강남구 헌릉로590길 60 (세곡동),08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,,,
59,59,59,강남구웰에이징센터 (3층 주차장 출입문 옆),"서울특별시 강남구 선릉로108길 27, 강남구웰에이징센터 3층 (삼성동)",09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,00:00~24:00,00:00~24:00,00:00~24:00
60,60,60,강남구치매지원센터 (강남구 치매안심센터 4층 안내데스크),"서울특별시 강남구 선릉로108길 27, 강남구치매지원센터 4층 (삼성동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
61,61,61,강남세움근로사업장굿윌스토어 (로비 중앙),"서울특별시 강남구 광평로60길 22, 미미위강남세움센터 1층 (수서동)",,,,,,09:00~18:00,,
62,62,62,강남세움발달장애인평생교육센터 (로비 유리문 앞),"서울특별시 강남구 광평로60길 22, 미미위강남세움센터 4층 (수서동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
63,63,63,강남세움보호작업장 (로비 엘리베이터 앞),"서울특별시 강남구 광평로60길 22, 미미위강남세움센터 2층 (수서동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
64,64,64,강남세움복지관 (6층 세움복지관 휘트니스 앞),"서울특별시 강남구 광평로60길 22, 미미위강남세움센터 (수서동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,10:30~18:30,,
65,65,65,강남세움복지관 (5층 세움복지관 사무실 앞),"서울특별시 강남구 광평로60길 22, 미미위강남세움센터 (수서동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,10:30~18:00,,
66,66,66,강동구립해공데이케어센터 (4층 탕비실 옆),"서울특별시 강동구 천중로17길 42-16, 천호2동자치회관 (천호동)",07:00~22:00,07:00~22:00,07:00~22:00,07:00~22:00,07:00~22:00,,,
67,67,67,강동구청역 (강동구청역 지하2층 대합실),"서울특별시 강동구 올림픽로 지하 550, 강동구청역 (성내동)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
68,68,68,강동롯데캐슬퍼스트아파트 (정문경비실 내부),"서울특별시 강동구 고덕로 131 (암사동, 강동 롯데캐슬퍼스트아파트)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
69,69,69,강동롯데캐슬퍼스트아파트 (동문경비실 내부),"서울특별시 강동구 고덕로 131 (암사동, 강동 롯데캐슬퍼스트아파트)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
70,70,70,강동롯데캐슬퍼스트아파트 (동문경비실 내부),"서울특별시 강동구 고덕로 131 (암사동, 강동 롯데캐슬퍼스트아파트)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
71,71,71,강동리버스트4단지아파트 (남문 보안초소 앞),"서울특별시 강동구 아리수로93가길 110(강일동, 강동리버스트4단지)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
72,72,72,강동리버스트4단지아파트 (정문 보안초소 앞),"서울특별시 강동구 아리수로93가길 110(강일동, 강동리버스트4단지)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
73,73,73,강동리버스트6단지아파트 (관리사무소 정문 앞),"서울특별시 강동구 아리수로93가길 77(강일동, 강동리버스트6단지)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
74,74,74,강동리버스트6단지아파트 (노인정 정문 앞),"서울특별시 강동구 아리수로93가길 77(강일동, 강동리버스트6단지)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
75,75,75,강동리버스트7단지아파트 (관리사무소 출입구 안쪽),"서울특별시 강동구 아리수로93가길 70(강일동, 강동리버스트7단지)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
76,76,76,강동리엔파크11단지 (경로당 출입문 앞),"서울특별시 강동구 고덕로98길 101(상일동, 강동리엔파크11단지)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
77,77,77,강동리엔파크14단지 (관리사무소 내),"서울특별시 강동구 고덕로98길 160(상일동, 강동리엔파크14단지)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
78,78,78,강동역 (지하3층 대합실),서울특별시 강동구 천호대로 지하 1097,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
79,79,79,강변건영아파트 (후문경비실),"서울특별시 성동구 왕십리로 36(성수동1가, 강변 건영아파트)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
80,80,80,강변건영아파트 (정문경비실),"서울특별시 성동구 왕십리로 36(성수동1가, 강변 건영아파트)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
81,81,81,강북구민운동장 (정문 좌측),"서울특별시 강북구 오현로 187-25, 강북구민운동장 (번동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
82,82,82,강북문화예술회관 (지하1층 출입문 오른쪽),"서울특별시 강북구 삼각산로 85, 강북문화예술회관 (수유동)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
83,83,83,강북삼성병원 (구급차 내부),"서울특별시 종로구 새문안로 29, 강북삼성병원 (평동)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
84,84,84,강서경찰서 (2층 유치장 내),"서울특별시 강서구 화곡로 308, 서울강서경찰서 (화곡동)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
85,85,85,강서구방화보건지소 (만성질환관리실앞),"서울특별시 강서구 금낭화로 162, 1층 (방화동, 방화메이빌아파트)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
86,86,86,강서구보건소 (1층 민원실 계단 앞),"서울특별시 강서구 공항대로 561, 강서구보건소 (염창동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
87,87,87,강서힐스테이트아파트 (관리사무실 입구),서울특별시 강서구 우현로 67,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
88,88,88,강일리버파크7단지 (관리동 2층),서울특별시 강동구 아리수로98길 25,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
89,89,89,개운산스포츠센터 (지하1층 안내데스크 복도),"서울특별시 성북구 북악산로 949-60, 성북구의회청사 (종암동)",06:00~22:00,06:00~22:00,06:00~22:00,06:00~22:00,06:00~22:00,06:00~18:00,10:00~18:00,10:00~18:00
90,90,90,개인정보보호위원회 (정부서울청사 본관 12층 1205호 앞 복도),"서울특별시 종로구 세종대로 209, 정부서울청사 12층 1205호 (세종로)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
91,91,91,거여6단지 (603동 1층),"서울특별시 송파구 양산로2길 38(거여동, 거여6단지아파트)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
92,92,92,경기대학교 서울캠퍼스 (충정관 1층),"서울특별시 서대문구 경기대로9길 24, 경기대학교 (충정로2가)",07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00
93,93,93,경기대학교 서울캠퍼스 (대학원 1층),"서울특별시 서대문구 경기대로9길 24, 경기대학교 (충정로2가)",07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00
94,94,94,경찰병원 (원내 안내데스크),"서울특별시 송파구 송이로 123, 국립경찰병원 (가락동)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
95,95,95,고덕롯데캐슬베네루체아파트관리사무소 (정문 경비초소),"서울특별시 강동구 상암로79길 88 (상일동, 고덕롯데캐슬베네루체아파트)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
96,96,96,고덕리엔파크1단지 (관리사무소 내),서울특별시 강동구 상일로 152,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
97,97,97,고덕리엔파크3단지 (2층 관리사무소 출입구 앞),"서울특별시 강동구 상일로 74(상일동, 고덕리엔파크3단지아파트)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
98,98,98,고덕숲아이파크아파트 (1블럭 경비실),"서울특별시 강동구 고덕로80길 134, 고덕숲아이파크 (상일동, 고덕숲아이파크)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
99,99,99,고덕숲아이파크아파트 (4블럭 경비실),"서울특별시 강동구 고덕로80길 134 (상일동, 고덕숲아이파크)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
100,100,100,고덕숲아이파크아파트 (3블럭 경비실),"서울특별시 강동구 고덕로80길 134 (상일동, 고덕숲아이파크)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
101,101,101,고덕숲아이파크아파트 (4블럭 경비실),"서울특별시 강동구 고덕로80길 134 (상일동, 고덕숲아이파크)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
102,102,102,고덕아이파크아파트 (관리사무소 1층 노인정 옆 벽면),"서울특별시 강동구 동남로79길 26(고덕동, 고덕아이파크)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
103,103,103,고덕어울림수영장 (관망대),"서울특별시 강동구 고덕로 399, 지하1층 (고덕동, 고덕센트럴푸르지오)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~18:00,,
104,104,104,고덕어울림수영장 (안내데스크 옆),"서울특별시 강동구 고덕로 399, 지하1층 (고덕동, 고덕센트럴푸르지오)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~18:00,,
105,105,105,고덕역 (지하1층 대합실),서울특별시 강동구 고덕로 지하 253,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
106,106,106,공릉1단지아파트 (관리소),"서울특별시 노원구 동일로 1127 (공릉동, 공릉1단지아파트)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
107,107,107,공항동주민센터 (민원실),"서울특별시 강서구 송정로 45, 공항동주민센터 (공항동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,00:00~00:01,100:00~00:01,00:00~00:01
108,108,108,관악가족행복센터 (2층 EV 앞),"서울특별시 관악구 남부순환로 1491, 관악가족행복센터 (신림동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~17:00,,
109,109,109,관악가족행복센터 (5층EV 앞),"서울특별시 관악구 남부순환로 1491, 관악가족행복센터 (신림동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~17:00,,
110,110,110,관악가족행복센터 (4층EV앞),"서울특별시 관악구 남부순환로 1491, 관악가족행복센터 (신림동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~17:00,,
111,111,111,관악가족행복센터 (1층 후문 출입구 앞),"서울특별시 관악구 남부순환로 1491, 관악가족행복센터 (신림동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~17:00,,
112,112,112,관악가족행복센터 (3층 EV 앞),"서울특별시 관악구 남부순환로 1491, 관악가족행복센터 (신림동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~17:00,,
